Editorial,ISSN,eISSN,Título,Tipo,Descuento,Promotor
Cambridge,0392-1921,1467-7695,Diogenes,Sólo Open Access,100,Biblioteca US
Cambridge,1935-7893,1938-744X,Disaster Medicine and Public Health Preparedness,Híbrida,100,Biblioteca US
Cambridge,1742-058X,1742-0598,Du Bois Review: Social Science Research on Race,Híbrida,100,Biblioteca US
Cambridge,0362-5028,2325-2324,Early China,Híbrida,100,Biblioteca US
Cambridge,0261-1279,1474-0559,Early Music History,Híbrida,100,Biblioteca US
Cambridge,1755-6910,1755-6929,Earth and Environmental Science Transactions of The Royal Society of Edinburgh,Híbrida,100,Biblioteca US
Cambridge,0956-618X,1751-8539,Ecclesiastical Law Journal,Híbrida,100,Biblioteca US
Cambridge,0266-4666,1469-4360,Econometric Theory,Híbrida,100,Biblioteca US
Cambridge,1035-3046,1838-2673,Economic and Labour Relations Review,Híbrida,100,Biblioteca US
Cambridge,0266-2671,1474-0028,Economics & Philosophy,Híbrida,100,Biblioteca US
Cambridge,1478-5706,1478-5714,Eighteenth-Century Music,Híbrida,100,Biblioteca US
Cambridge,1360-6743,1469-4379,English Language & Linguistics,Híbrida,100,Biblioteca US
Cambridge,0266-0784,1474-0567,English Today,Híbrida,100,Biblioteca US
Cambridge,1467-2227,1467-2235,Enterprise & Society,Híbrida,100,Biblioteca US
Cambridge,1355-770X,1469-4395,Environment and Development Economics,Híbrida,100,Biblioteca US
Cambridge,0376-8929,1469-4387,Environmental Conservation,Híbrida,100,Biblioteca US
Cambridge,,2634-4602,Environmental Data Science,Sólo Open Access,100,Biblioteca US
Cambridge,0950-2688,1469-4409,Epidemiology & Infection,Sólo Open Access,100,Biblioteca US
Cambridge,2045-7960,2045-7979,Epidemiology and Psychiatric Sciences,Sólo Open Access,100,Biblioteca US
Cambridge,1742-3600,1750-0117,Episteme,Sólo Open Access,100,Biblioteca US
Cambridge,0143-3857,1469-4417,Ergodic Theory and Dynamical Systems,Híbrida,100,Biblioteca US
Cambridge,0892-6794,1747-7093,Ethics & International Affairs,Híbrida,100,Biblioteca US
Cambridge,1574-0196,1744-5515,European Constitutional Law Review,Híbrida,100,Biblioteca US
Cambridge,0956-7925,1469-4425,European Journal of Applied Mathematics,Sólo Open Access,100,Biblioteca US
Cambridge,1461-9571,1741-2722,European Journal of Archaeology,Híbrida,100,Biblioteca US
